umur,jenis_kelamin,pekerjaan,provinsi,gaji,is_menikah,is_keturunan,berat,tinggi,sampo,is_merokok,pendidikan,stress,botak_prob
27,Perempuan,PNS,Bengkulu,7957452.757,1,0,54.31505253,170.4285423,Pantone,1,S1,5,0.605973895
53,Perempuan,PNS,Bandung,7633002.755,1,0,72.87340356,165.5300966,Pantone,0,S1,7,0.532859766
37,Perempuan,Pegawai swasta,Bandung,6637624.864,1,0,46.32153272,154.5993883,Moonsilk,0,S1,4,0.418441952
36,Perempuan,Pengangguran,Palu,3624871.391,1,0,51.53978079,167.3404808,Deadbuoy,1,SD,9,0.804050215
38,Laki-laki,Freelance,Palangkaraya,6031807.52,1,0,60.72690901,165.5147732,Merpati,1,S2,1,0.368371494
55,Perempuan,PNS,Palangkaraya,9213032.164,1,1,54.28704539,179.2351446,Pantone,0,S1,1,0.732561993
40,Perempuan,Freelance,Serang,10682559.3,1,0,54.82488111,177.4311221,Shoulder & Head,0,S1,2,0.192604443
47,Laki-laki,Pegawai swasta,Banda Aceh,4508320.964,1,0,74.79515223,170.5409382,Shoulder & Head,1,S2,3,0.540582366
41,Laki-laki,Freelance,Palu,9846425.542,1,0,55.04954726,157.1920779,Pantone,0,SMA,6,0.367960089
46,Perempuan,Freelance,Palembang,9257426.321,1,0,52.76465633,174.3971704,Shoulder & Head,0,S1,4,0.403653482
34,Laki-laki,PNS,Kupang,4765811.843,1,1,43.65720666,151.0786469,Moonsilk,0,S1,2,0.593703715
40,Laki-laki,Pegawai swasta,Sofifi,18627756.02,1,0,81.14044069,167.4920958,Shoulder & Head,0,S1,1,0.3593373
41,Laki-laki,Pegawai swasta,Ambon,19396218.5,1,0,47.95907454,152.0983513,Deadbuoy,1,SMA,4,0.614879224
26,Laki-laki,Pegawai swasta,Tanjungselor,10363501.21,1,1,54.04713851,175.7903064,Pantone,1,SMA,1,0.612226544
45,Laki-laki,PNS,Tanjung Pinang,12117177.48,1,1,54.5482387,167.8559356,Moonsilk,1,S1,3,1
21,Laki-laki,Pegawai swasta,Banjarmasin,6867877.611,1,0,45.08445596,151.9496673,Merpati,1,S1,5,0.608597599
33,Laki-laki,Pegawai swasta,Denpasar,4466445.515,1,0,49.23934282,165.9550758,Deadbuoy,1,S1,7,0.446408196
