umur,jenis_kelamin,pekerjaan,gaji,is_menikah,berat,tinggi,is_merokok,pendidikan,ever_stress
27,Perempuan,PNS,7957452.757,1,54.31505253,170.4285423,1,S1,1
53,Perempuan,PNS,7633002.755,1,72.87340356,165.5300966,0,S1,1
37,Perempuan,Pegawai swasta,6637624.864,1,46.32153272,154.5993883,0,S1,1
36,Perempuan,Pengangguran,3624871.391,1,51.53978079,167.3404808,1,SD,1
38,Laki-laki,Freelance,6031807.52,1,60.72690901,165.5147732,1,S2,0
55,Perempuan,PNS,9213032.164,1,54.28704539,179.2351446,0,S1,0
40,Perempuan,Freelance,10682559.3,1,54.82488111,177.4311221,0,S1,0
47,Laki-laki,Pegawai swasta,4508320.964,1,74.79515223,170.5409382,1,S2,0
41,Laki-laki,Freelance,9846425.542,1,55.04954726,157.1920779,0,SMA,1
46,Perempuan,Freelance,9257426.321,1,52.76465633,174.3971704,0,S1,1
34,Laki-laki,PNS,4765811.843,1,43.65720666,151.0786469,0,S1,0
40,Laki-laki,Pegawai swasta,18627756.02,1,81.14044069,167.4920958,0,S1,0
41,Laki-laki,Pegawai swasta,19396218.5,1,47.95907454,152.0983513,1,SMA,1
26,Laki-laki,Pegawai swasta,10363501.21,1,54.04713851,175.7903064,1,SMA,0
45,Laki-laki,PNS,12117177.48,1,54.5482387,167.8559356,1,S1,0
21,Laki-laki,Pegawai swasta,6867877.611,1,45.08445596,151.9496673,1,S1,1
33,Laki-laki,Pegawai swasta,4466445.515,1,49.23934282,165.9550758,1,S1,1
54,Laki-laki,Pegawai swasta,11474564.08,1,69.38197082,175.1329226,1,S1,1
35,,Pegawai swasta,12093635.36,1,54.24799178,153.9903081,0,SMA,1
38,Laki-laki,Pengangguran,10878145.37,1,53.10379391,187.8178381,0,S1,1
38,Perempuan,Pegawai swasta,6786868.15,1,65.39398033,169.1926502,1,SMP,1
49,Laki-laki,PNS,10209359.47,1,,175.4605184,0,S1,1
49,Laki-laki,Pegawai swasta,7061549.069,1,62.67634595,176.5756783,1,S3,1
39,Laki-laki,PNS,9326526.881,1,59.77094012,179.2013842,1,S1,1
52,Laki-laki,PNS,10361307.61,1,59.36791338,171.5881823,0,SMA,1
27,Laki-laki,PNS,9426808.073,1,58.72654833,164.2848197,1,SMP,0
29,Laki-laki,Pengangguran,4157454.124,1,49.14080621,162.8656815,0,S2,1
45,Laki-laki,Pegawai swasta,6326320.572,1,57.82908867,174.3036918,1,SMA,0
25,Perempuan,PNS,6384657.01,1,53.58237252,166.7698502,1,SMA,1
24,Laki-laki,Pegawai swasta,18100469.51,1,47.00327669,163.1820247,0,SMA,1
35,Laki-laki,Pegawai swasta,8827766.636,1,44.39559296,160.364834,0,,1
50,Laki-laki,PNS,17167729.69,1,48.00951938,168.9577473,0,S1,1
28,Laki-laki,PNS,8353226.514,1,79.9145153,191.6440867,0,S1,0
49,Perempuan,,5307319.545,1,47.65400188,170.2330063,1,SMP,1
42,Laki-laki,Pegawai swasta,13475833.89,1,52.18070059,161.2655352,0,S1,1
34,Perempuan,Pegawai swasta,9880872.229,1,46.11419059,164.9337729,0,S1,1
42,Laki-laki,PNS,4523667.44,1,59.39016775,187.0827638,0,SD,0
34,Laki-laki,,5691835.614,1,72.96872409,164.1900725,0,S1,0
40,Perempuan,Pegawai swasta,6822556.511,1,67.93556957,175.7560996,1,SD,1
54,Laki-laki,Pegawai swasta,9970288.904,1,47.56918387,160.8625655,1,S2,0
38,Laki-laki,Freelance,7662164.443,1,46.33787191,157.9327227,1,SMA,1
40,Perempuan,Pegawai swasta,6290801.288,1,46.01315087,151.5196905,0,SMP,0
45,Perempuan,PNS,13229733.18,1,50.70097372,150.4077665,0,S1,0
25,Laki-laki,PNS,9459186.068,1,,172.3703925,0,S2,1
44,Laki-laki,PNS,13562600.52,1,46.33736247,148.7426684,0,S1,1
44,Laki-laki,PNS,6591225.836,1,53.36692719,175.1581109,1,SMP,1
43,Perempuan,PNS,5764889.365,1,47.71420147,163.2521004,0,S1,1
40,Perempuan,Freelance,12899702.64,1,64.84060601,182.3466215,1,SMP,1
56,Laki-laki,Pegawai swasta,6811622.921,1,48.786268,,1,S2,1
43,Laki-laki,PNS,4159354.146,1,55.96198884,173.4595654,1,S2,1
36,Laki-laki,Pegawai swasta,20529524.5,1,57.41173947,161.4819822,1,S1,0
55,Laki-laki,Pegawai swasta,5952405.173,1,42.32687343,154.4591823,0,S1,0
26,Perempuan,PNS,7954334.69,1,60.77615435,167.7683328,1,S1,1
47,Laki-laki,PNS,14821027.89,1,53.9631003,158.1482231,1,S2,1
55,Laki-laki,Pegawai swasta,6711912.081,1,52.15179472,176.2199785,0,S1,0
19,Laki-laki,PNS,5756210.824,0,46.93013405,151.1946073,1,S1,0
30,Perempuan,Freelance,9907657.487,1,73.17690182,190.7773911,1,S1,0
54,Laki-laki,Pegawai swasta,8163643.854,1,63.45567424,190.3795216,0,S1,1
39,Laki-laki,PNS,7083551.366,1,53.53691707,161.4959414,1,SMP,1
43,Perempuan,PNS,16629901.15,1,47.10334246,176.5957512,1,SMP,0
47,Laki-laki,PNS,11251318.07,1,59.85438135,163.0249052,0,S1,1
40,Laki-laki,Pegawai swasta,12052140.05,1,63.15549232,162.1151965,1,S1,1
33,Laki-laki,,5459195.593,1,50.19956134,157.2625405,1,SMA,1
52,Laki-laki,PNS,18025426.93,1,54.28844094,181.5435848,0,SMA,1
37,Laki-laki,Pegawai swasta,12805715.82,1,48.98024609,162.2767257,1,SMA,1
49,Laki-laki,PNS,5623732.118,1,43.98074578,180.104522,0,SMA,0
47,Laki-laki,Pegawai swasta,5230531.649,1,59.46600848,173.3131526,0,S1,1
42,Perempuan,PNS,7270300.494,1,44.65869212,180.9304601,0,SMA,0
63,Laki-laki,Pegawai swasta,9357449.673,1,58.91671738,146.3904142,0,S1,1
51,Laki-laki,Pegawai swasta,14343593.48,1,58.09811929,168.8512929,1,S2,1
56,Laki-laki,Freelance,8032880.778,1,58.07594717,162.9669403,0,SMA,0
34,Perempuan,PNS,5252953.787,1,68.96239095,185.98281,1,SMP,0
39,Perempuan,Pegawai swasta,11161510.53,,69.19363684,172.5991499,1,SMP,1
44,Perempuan,PNS,5328688.904,1,44.02360369,157.7291021,0,SMA,1
35,Perempuan,Freelance,11091975.12,1,47.48058554,159.461315,1,S1,0
54,Laki-laki,Pegawai swasta,4144908.781,1,56.29823568,188.3692105,0,S1,1
51,Perempuan,PNS,,1,48.66468672,163.1495699,1,S1,1
32,Perempuan,Freelance,9937152.879,1,51.52134668,159.9664114,1,SMA,1
39,Perempuan,PNS,4977624.921,1,53.67850928,170.5650321,1,S1,0
35,Perempuan,Freelance,,1,51.17065134,155.9147151,0,S1,1
37,Perempuan,Pegawai swasta,9552723.742,1,50.01373731,162.9396357,0,S1,0
35,Laki-laki,PNS,5551985.077,1,56.92918854,170.442858,0,SMA,1
30,Perempuan,Freelance,7211729.497,1,53.35139708,177.6700725,1,S2,0
38,Laki-laki,Pegawai swasta,10072406.44,1,88.24759992,175.5561663,0,S2,1
34,Laki-laki,PNS,15344416.71,1,44.96837125,149.4978683,1,S1,1
62,Laki-laki,Pegawai swasta,4426789.403,1,60.1676558,166.6414412,0,SMA,0
44,Perempuan,Freelance,23532384.14,1,55.22972694,153.1140821,1,S1,0
18,Laki-laki,Pegawai swasta,8932664.818,0,57.57831556,177.1597685,0,S1,1
41,Perempuan,Freelance,4452463.153,1,52.78574385,187.3541269,0,S1,1
35,Laki-laki,PNS,8340826.649,1,52.92483076,165.3425952,0,S1,1
